date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,spend,conversions,CPA,conversion_value,ROAS,primary_goal,offering,audience,funnel_stage
2024-01-06,Meta Ads,Search,Healthcare,Australia,17763,726,0.0409,1.94,1408.44,30,46.95,1946.19,1.38,Increase Sales,Medical Device,New parents,consideration
2024-10-14,TikTok Ads,Search,EdTech,India,97193,6230,0.0641,1.6,9968.0,306,32.58,81609.12,8.19,Increase Sales,Professional Certifications,HR managers,conversion
2024-03-06,Meta Ads,Shopping,Healthcare,UAE,58682,1748,0.0298,1.49,2604.52,84,31.01,12746.65,4.89,Brand Awareness,Wellness Supplement,New parents,retention
2024-03-21,TikTok Ads,Display,SaaS,Canada,108196,5334,0.0493,0.99,5280.66,289,18.27,27408.56,5.19,Brand Awareness,CRM Software,Freelancers,consideration
2024-08-20,Google Ads,Search,E-commerce,UAE,152979,4650,0.0304,0.79,3673.5,330,11.13,91949.73,25.03,Revenue Efficiency,Pet Subscription Box,Eco-conscious Gen Z,retention
2024-01-08,Google Ads,Display,EdTech,USA,132600,6802,0.0513,1.53,10407.06,97,107.29,6779.29,0.65,Revenue Efficiency,Language Learning Platform,High school students,retention
2024-09-30,Google Ads,Video,Fintech,Australia,110977,4150,0.0374,1.13,4689.5,197,23.8,18314.78,3.91,Traffic,Crypto Exchange,First-time investors,conversion
2024-03-07,Google Ads,Search,EdTech,UK,87152,3599,0.0413,2.63,9465.37,127,74.53,25958.5,2.74,Revenue Efficiency,Professional Certifications,High school students,conversion
2024-08-16,Meta Ads,Shopping,Fintech,UAE,164096,1919,0.0117,0.66,1266.54,139,9.11,7181.17,5.67,Revenue Efficiency,Crypto Exchange,First-time investors,awareness
2024-08-10,Meta Ads,Shopping,Healthcare,Germany,21389,941,0.044,0.8,752.8,46,16.37,8479.43,11.26,Brand Awareness,Wellness Supplement,Chronic pain sufferers,retention
2024-04-27,Google Ads,Shopping,Healthcare,India,69323,2169,0.0313,2.19,4750.11,94,50.53,16337.12,3.44,Brand Awareness,Telemedicine App,Seniors over 65,conversion
2024-05-17,Google Ads,Display,SaaS,UAE,138291,3318,0.024,0.83,2753.94,217,12.69,12761.51,4.63,Increase Sales,CRM Software,E-commerce store owners,conversion
