campaign_id,platform,date,spend,impressions,clicks,conversions,revenue
C-009,TikTok,2024-01-05,95.88,18039,713,29,343.98
C-010,TikTok,2024-01-05,224.32,47969,2315,27,439.51
C-011,Meta,2024-01-05,102.13,21533,605,20,306.66
C-012,Google,2024-01-05,162.48,32026,901,32,579.69
C-001,Meta,2024-01-06,168.18,33942,1120,45,481.36
C-002,Meta,2024-01-06,284.23,54666,1530,24,440.98
C-003,Meta,2024-01-06,111.97,21095,546,18,352.0
C-004,Google,2024-01-06,200.74,39396,1836,123,1473.08
C-005,Google,2024-01-06,232.97,51031,1952,91,679.17
C-006,Google,2024-01-06,299.87,57961,1309,25,532.19
C-007,Google,2024-01-06,142.12,27098,941,33,489.76
C-008,TikTok,2024-01-06,66.45,12552,687,54,450.48
C-009,TikTok,2024-01-06,97.97,18526,603,24,334.52
C-010,TikTok,2024-01-06,221.86,48515,2491,31,451.88
C-011,Meta,2024-01-06,137.32,27662,845,26,438.76
C-012,Google,2024-01-06,144.57,31588,969,35,453.54
C-001,Meta,2024-01-07,160.28,30861,955,38,495.23
C-002,Meta,2024-01-07,327.35,62258,1653,21,516.8
C-003,Meta,2024-01-07,101.15,21117,634,25,281.39
C-004,Google,2024-01-07,156.78,32385,1383,97,1125.47
C-005,Google,2024-01-07,223.84,42980,1418,57,738.77
C-006,Google,2024-01-07,262.84,48649,949,19,442.91
C-007,Google,2024-01-07,145.71,29815,897,36,384.0
C-008,TikTok,2024-01-07,56.16,11074,566,47,400.1
C-009,TikTok,2024-01-07,88.44,16675,628,31,346.66
C-010,TikTok,2024-01-07,180.18,33043,1825,22,359.67
C-011,Meta,2024-01-07,131.46,27612,784,25,334.86
C-012,Google,2024-01-07,137.17,26034,852,38,382.69
C-001,Meta,2024-01-08,146.15,29988,817,34,466.89
C-002,Meta,2024-01-08,295.42,60928,1297,20,447.09
C-003,Meta,2024-01-08,88.2,17375,439,18,257.16
C-004,Google,2024-01-08,155.71,29579,1470,108,1103.64
C-005,Google,2024-01-08,220.56,48416,1743,83,837.96
C-006,Google,2024-01-08,289.46,60430,1210,23,469.79
C-007,Google,2024-01-08,145.49,30515,969,35,416.82
C-008,TikTok,2024-01-08,62.48,13160,662,54,419.44
C-009,TikTok,2024-01-08,78.59,15044,532,22,286.33
C-010,TikTok,2024-01-08,178.3,33743,1963,25,325.48
C-011,Meta,2024-01-08,116.67,23532,619,20,318.85
C-012,Google,2024-01-08,179.43,36489,1274,57,619.93
C-001,Meta,2024-01-09,144.62,26065,747,32,511.86
C-002,Meta,2024-01-09,363.53,71528,1920,29,524.71
C-003,Meta,2024-01-09,91.62,17295,474,15,252.64
C-004,Google,2024-01-09,189.67,37208,1506,111,1095.13
C-005,Google,2024-01-09,217.7,39420,1335,57,635.17
C-006,Google,2024-01-09,291.99,54143,1070,16,450.24
C-007,Google,2024-01-09,118.75,22927,791,30,395.96
C-008,TikTok,2024-01-09,65.97,12540,548,37,480.6
C-009,TikTok,2024-01-09,103.5,20078,797,38,389.56
C-010,TikTok,2024-01-09,215.25,46921,2347,24,404.89
C-011,Meta,2024-01-09,106.54,22030,606,19,316.16
C-012,Google,2024-01-09,172.81,32265,1099,48,489.04
C-001,Meta,2024-01-10,164.37,35929,951,32,496.31
C-002,Meta,2024-01-10,337.03,73582,1782,28,411.82
C-003,Meta,2024-01-10,105.72,21682,534,21,338.81
C-004,Google,2024-01-10,185.42,34273,1766,143,1149.98
C-005,Google,2024-01-10,205.49,40034,1403,56,771.94
C-006,Google,2024-01-10,307.08,56570,1287,24,539.78
C-007,Google,2024-01-10,138.09,27261,933,42,398.55
C-008,TikTok,2024-01-10,65.55,13210,657,51,504.67
C-009,TikTok,2024-01-10,83.75,17928,748,29,336.02
C-010,TikTok,2024-01-10,184.63,36665,2083,24,332.9
C-011,Meta,2024-01-10,132.63,24838,612,24,353.58
C-012,Google,2024-01-10,178.26,37086,1141,39,647.11
C-001,Meta,2024-01-11,131.35,27426,819,35,444.36
C-002,Meta,2024-01-11,334.01,66679,1813,23,428.56
C-003,Meta,2024-01-11,105.75,20330,583,21,309.52
C-004,Google,2024-01-11,175.98,36927,1577,125,1065.26
C-005,Google,2024-01-11,194.34,35919,1141,42,667.87
C-006,Google,2024-01-11,302.02,56600,1035,18,515.79
C-007,Google,2024-01-11,148.59,29864,893,31,418.36
C-008,TikTok,2024-01-11,55.09,10311,440,35,369.79
C-009,TikTok,2024-01-11,102.81,20781,836,33,411.03
C-010,TikTok,2024-01-11,199.45,42863,2409,28,411.36
C-011,Meta,2024-01-11,108.64,19778,604,21,333.59
C-012,Google,2024-01-11,155.23,28401,973,34,444.46
C-001,Meta,2024-01-12,152.83,29366,1011,35,527.85
C-002,Meta,2024-01-12,330.21,69882,1603,24,455.43
C-003,Meta,2024-01-12,98.28,21071,676,24,295.36
C-004,Google,2024-01-12,185.92,38969,1989,136,1103.71
C-005,Google,2024-01-12,220.11,41002,1294,47,636.72
C-006,Google,2024-01-12,275.84,56203,1053,17,468.75
C-007,Google,2024-01-12,137.92,27330,923,41,464.47
C-008,TikTok,2024-01-12,62.25,12851,726,56,454.19
C-009,TikTok,2024-01-12,93.99,20333,848,33,304.45
C-010,TikTok,2024-01-12,188.46,39568,2221,24,351.17
C-011,Meta,2024-01-12,126.79,26370,806,29,354.35
C-012,Google,2024-01-12,139.86,25397,821,31,414.03
C-001,Meta,2024-01-13,131.61,28753,949,38,478.11
C-002,Meta,2024-01-13,367.96,76127,1771,22,554.75
C-003,Meta,2024-01-13,99.12,20424,643,22,294.81
C-004,Google,2024-01-13,187.28,37394,1476,105,1156.44
C-005,Google,2024-01-13,220.72,47302,1571,69,702.77
C-006,Google,2024-01-13,317.4,67461,1369,24,479.58
C-007,Google,2024-01-13,123.11,26937,837,33,437.53
C-008,TikTok,2024-01-13,62.84,12675,617,44,433.69
C-009,TikTok,2024-01-13,96.92,19870,813,33,354.06
C-010,TikTok,2024-01-13,225.66,44573,2597,27,541.15
C-011,Meta,2024-01-13,123.92,23491,569,20,352.41
C-012,Google,2024-01-13,140.47,30859,1144,46,397.92
C-001,Meta,2024-01-14,164.95,32979,1053,42,491.96
C-002,Meta,2024-01-14,352.13,77190,1781,27,475.76
C-003,Meta,2024-01-14,112.66,22569,703,29,304.78
C-004,Google,2024-01-14,195.66,38466,1956,147,1394.09
C-005,Google,2024-01-14,196.32,37682,1353,65,665.41
C-006,Google,2024-01-14,250.48,50482,962,17,405.99
C-007,Google,2024-01-14,128.26,24737,717,30,406.17
C-008,TikTok,2024-01-14,55.2,11648,502,43,421.91
C-009,TikTok,2024-01-14,98.41,19233,766,37,405.38
C-010,TikTok,2024-01-14,199.72,36245,1994,24,465.93
C-011,Meta,2024-01-14,133.47,26375,717,25,398.66
C-012,Google,2024-01-14,155.68,32099,949,38,568.3
C-001,Meta,2024-01-15,142.74,29648,929,41,505.05
C-002,Meta,2024-01-15,354.5,69198,1634,26,534.92
C-003,Meta,2024-01-15,111.17,20170,491,19,363.1
C-004,Google,2024-01-15,206.86,43413,1914,126,1398.54
C-005,Google,2024-01-15,233.47,46168,1709,80,685.68
C-006,Google,2024-01-15,304.88,58456,1125,18,492.37
C-007,Google,2024-01-15,132.57,28065,809,28,456.69
C-008,TikTok,2024-01-15,62.15,11785,662,47,442.26
C-009,TikTok,2024-01-15,83.36,15856,513,25,336.22
C-010,TikTok,2024-01-15,210.66,39249,2120,24,454.01
C-011,Meta,2024-01-15,125.0,24621,614,24,318.42
C-012,Google,2024-01-15,154.47,30790,935,39,505.4
C-001,Meta,2024-01-16,172.17,33023,1132,47,513.67
C-002,Meta,2024-01-16,326.33,67691,1816,23,471.45
C-003,Meta,2024-01-16,99.9,21595,565,23,299.02
C-004,Google,2024-01-16,172.03,35346,1648,130,1192.31
C-005,Google,2024-01-16,220.03,46983,1707,80,780.95
C-006,Google,2024-01-16,263.95,52165,1068,20,370.39
C-007,Google,2024-01-16,122.01,25609,739,26,382.7
C-008,TikTok,2024-01-16,68.49,13782,774,68,457.17
C-009,TikTok,2024-01-16,98.77,19682,816,39,338.37
C-010,TikTok,2024-01-16,176.91,38657,1896,25,411.65
C-011,Meta,2024-01-16,128.07,28072,864,33,344.16
C-012,Google,2024-01-16,173.95,31407,1047,42,585.5
C-001,Meta,2024-01-17,157.76,32085,1055,47,445.52
C-002,Meta,2024-01-17,294.45,53295,1485,22,463.58
C-003,Meta,2024-01-17,91.64,16726,513,21,249.99
C-004,Google,2024-01-17,175.05,32487,1657,116,1135.31
C-005,Google,2024-01-17,184.62,39783,1240,51,659.81
C-006,Google,2024-01-17,300.42,65443,1277,24,430.85
C-007,Google,2024-01-17,126.68,23304,743,28,445.9
C-008,TikTok,2024-01-17,51.59,10050,493,44,411.06
C-009,TikTok,2024-01-17,79.18,16424,632,32,272.96
C-010,TikTok,2024-01-17,193.89,36372,1773,23,401.64
C-011,Meta,2024-01-17,125.86,25885,719,22,382.73
C-012,Google,2024-01-17,147.69,27328,919,32,510.2
C-001,Meta,2024-01-18,136.82,25809,860,32,391.53
C-002,Meta,2024-01-18,358.45,64561,1787,23,446.13
C-003,Meta,2024-01-18,92.52,17299,507,16,229.26
C-004,Google,2024-01-18,195.66,37080,1580,106,1101.01
C-005,Google,2024-01-18,225.23,45281,1701,70,829.65
C-006,Google,2024-01-18,281.11,51826,1037,21,388.16
C-007,Google,2024-01-18,141.05,30280,975,38,498.12
C-008,TikTok,2024-01-18,52.09,10374,503,42,373.95
C-009,TikTok,2024-01-18,101.06,18487,614,28,316.41
C-010,TikTok,2024-01-18,186.5,38292,2136,24,449.77
C-011,Meta,2024-01-18,121.1,23995,668,21,359.61
C-012,Google,2024-01-18,176.93,36454,1300,56,517.77
C-001,Meta,2024-01-19,147.82,27958,798,31,461.1
C-002,Meta,2024-01-19,281.13,55402,1453,20,352.57
C-003,Meta,2024-01-19,112.69,20586,633,21,287.25
C-004,Google,2024-01-19,192.89,40983,1875,144,1276.95
C-005,Google,2024-01-19,199.27,36842,1232,54,728.39
C-006,Google,2024-01-19,310.92,64933,1481,27,475.33
C-007,Google,2024-01-19,133.04,25079,840,30,363.95
C-008,TikTok,2024-01-19,66.22,12893,695,56,520.73
C-009,TikTok,2024-01-19,99.32,21749,905,42,372.86
C-010,TikTok,2024-01-19,171.58,37260,2251,25,325.77
C-011,Meta,2024-01-19,127.3,24487,629,19,395.99
C-012,Google,2024-01-19,163.18,31988,942,40,448.65
C-001,Meta,2024-01-20,161.08,30380,889,33,495.36
C-002,Meta,2024-01-20,341.27,72033,1837,24,413.65
C-003,Meta,2024-01-20,89.72,18366,541,19,272.83
C-004,Google,2024-01-20,179.23,35430,1485,119,1030.02
C-005,Google,2024-01-20,205.58,39333,1450,60,734.02
C-006,Google,2024-01-20,241.82,47350,975,14,363.86
C-007,Google,2024-01-20,118.74,22025,653,24,313.73
C-008,TikTok,2024-01-20,64.45,12053,580,49,464.08
C-009,TikTok,2024-01-20,99.0,21012,695,34,307.46
C-010,TikTok,2024-01-20,171.12,37106,2262,27,367.26
C-011,Meta,2024-01-20,127.54,25088,599,18,338.34
C-012,Google,2024-01-20,174.46,35716,1296,59,489.29
C-001,Meta,2024-01-21,165.5,31400,967,38,513.04
C-002,Meta,2024-01-21,301.79,58420,1387,18,423.83
C-003,Meta,2024-01-21,88.42,17719,556,20,273.91
C-004,Google,2024-01-21,197.22,41929,1737,116,1165.51
C-005,Google,2024-01-21,216.45,45542,1668,63,796.17
C-006,Google,2024-01-21,279.51,58746,1266,22,504.12
C-007,Google,2024-01-21,132.52,27221,903,40,426.49
C-008,TikTok,2024-01-21,53.72,9816,482,36,360.64
C-009,TikTok,2024-01-21,78.02,15626,560,24,243.53
C-010,TikTok,2024-01-21,219.9,40256,2456,32,477.72
C-011,Meta,2024-01-21,120.25,23870,654,25,376.69
C-012,Google,2024-01-21,157.59,33470,1154,44,500.6
C-001,Meta,2024-01-22,134.29,24504,647,28,409.54
C-002,Meta,2024-01-22,340.57,68175,1536,21,467.89
C-003,Meta,2024-01-22,98.18,19725,495,18,266.18
C-004,Google,2024-01-22,175.07,33882,1569,127,1188.24
C-005,Google,2024-01-22,182.65,33567,1237,48,662.69
C-006,Google,2024-01-22,293.15,63394,1409,24,480.68
C-007,Google,2024-01-22,116.02,22507,821,34,348.0
C-008,TikTok,2024-01-22,61.71,13423,632,48,483.19
C-009,TikTok,2024-01-22,98.46,20361,850,40,374.17
C-010,TikTok,2024-01-22,201.58,41493,2229,25,405.87
C-011,Meta,2024-01-22,108.49,20457,626,22,278.85
C-012,Google,2024-01-22,142.6,26108,950,34,493.4
C-001,Meta,2024-01-23,165.08,35549,918,34,570.46
C-002,Meta,2024-01-23,284.58,55512,1247,20,430.81
C-003,Meta,2024-01-23,109.27,20392,560,20,333.65
C-004,Google,2024-01-23,165.83,32795,1380,111,1061.38
C-005,Google,2024-01-23,212.14,40811,1560,64,793.79
C-006,Google,2024-01-23,268.9,58589,1342,23,402.07
C-007,Google,2024-01-23,125.39,25215,919,40,423.84
C-008,TikTok,2024-01-23,53.49,10163,529,47,391.43
C-009,TikTok,2024-01-23,79.27,16950,711,29,307.9
C-010,TikTok,2024-01-23,186.37,40295,1981,23,443.79
C-011,Meta,2024-01-23,109.99,21782,561,17,266.7
C-012,Google,2024-01-23,160.1,30327,1149,45,439.8
C-001,Meta,2024-01-24,169.39,36176,1134,49,483.12
C-002,Meta,2024-01-24,299.54,63859,1690,22,445.21
C-003,Meta,2024-01-24,98.46,17743,434,15,314.23
C-004,Google,2024-01-24,182.64,38188,1732,114,1111.69
C-005,Google,2024-01-24,197.47,35921,1226,56,662.76
C-006,Google,2024-01-24,247.31,53469,1100,16,397.52
C-007,Google,2024-01-24,119.94,22278,697,28,342.88
C-008,TikTok,2024-01-24,58.5,12084,529,48,366.57
C-009,TikTok,2024-01-24,90.7,18166,791,36,315.79
C-010,TikTok,2024-01-24,198.21,40717,2562,28,355.83
C-011,Meta,2024-01-24,130.39,25268,729,27,394.83
C-012,Google,2024-01-24,171.29,33110,943,39,599.68
C-001,Meta,2024-01-25,135.38,28587,848,35,450.34
C-002,Meta,2024-01-25,349.9,63865,1728,25,459.5
C-003,Meta,2024-01-25,86.31,16224,391,16,251.45
C-004,Google,2024-01-25,206.41,41637,1735,140,1217.33
C-005,Google,2024-01-25,200.99,42455,1648,65,606.38
C-006,Google,2024-01-25,268.91,57971,1244,25,415.62
C-007,Google,2024-01-25,148.48,29673,948,42,462.95
C-008,TikTok,2024-01-25,65.42,13678,597,49,516.57
C-009,TikTok,2024-01-25,91.23,17593,584,27,309.36
C-010,TikTok,2024-01-25,206.16,40622,2361,27,373.5
C-011,Meta,2024-01-25,133.32,25877,803,26,427.05
C-012,Google,2024-01-25,181.5,33214,1141,44,633.26
C-001,Meta,2024-01-26,158.07,34476,923,38,548.51
C-002,Meta,2024-01-26,275.34,50301,1362,19,371.93
C-003,Meta,2024-01-26,102.02,20832,614,26,284.5
C-004,Google,2024-01-26,194.21,39416,1789,130,1319.01
C-005,Google,2024-01-26,194.23,35842,1343,56,637.99
C-006,Google,2024-01-26,285.18,54318,1008,17,524.23
C-007,Google,2024-01-26,121.64,26354,841,29,417.0
C-008,TikTok,2024-01-26,59.14,12771,628,44,449.05
C-009,TikTok,2024-01-26,99.33,19149,694,27,362.11
C-010,TikTok,2024-01-26,223.48,47836,2798,37,488.7
C-011,Meta,2024-01-26,130.57,26159,626,20,325.99
C-012,Google,2024-01-26,173.94,31492,1056,41,607.31
C-001,Meta,2024-01-27,152.32,31146,818,30,560.48
C-002,Meta,2024-01-27,341.01,68552,1852,30,416.36
C-003,Meta,2024-01-27,114.17,23484,647,25,315.65
C-004,Google,2024-01-27,200.41,42328,1984,134,1484.88
C-005,Google,2024-01-27,205.75,44530,1350,50,626.73
C-006,Google,2024-01-27,251.83,48579,1032,17,456.22
C-007,Google,2024-01-27,145.4,31091,920,38,457.61
C-008,TikTok,2024-01-27,53.25,10230,516,41,345.29
C-009,TikTok,2024-01-27,101.92,18974,755,36,378.49
C-010,TikTok,2024-01-27,220.55,44671,2696,27,400.0
C-011,Meta,2024-01-27,125.09,25402,716,27,341.49
C-012,Google,2024-01-27,166.67,33320,1141,43,606.41
C-001,Meta,2024-01-28,149.23,31664,1002,37,416.36
C-002,Meta,2024-01-28,277.75,54879,1365,18,401.29
C-003,Meta,2024-01-28,94.38,19700,590,24,312.74
C-004,Google,2024-01-28,160.06,31183,1429,101,1029.93
C-005,Google,2024-01-28,195.35,37100,1141,44,641.11
C-006,Google,2024-01-28,289.69,55021,1221,19,439.51
C-007,Google,2024-01-28,133.03,25609,884,35,414.21
C-008,TikTok,2024-01-28,59.98,11536,494,44,432.56
C-009,TikTok,2024-01-28,102.6,19350,702,27,368.79
C-010,TikTok,2024-01-28,222.94,45963,2505,30,516.94
C-011,Meta,2024-01-28,117.51,25299,729,28,315.79
C-012,Google,2024-01-28,155.23,31482,943,39,433.18
C-001,Meta,2024-01-29,150.19,31626,886,40,506.62
C-002,Meta,2024-01-29,283.41,62067,1502,24,377.62
C-003,Meta,2024-01-29,113.17,23788,605,23,328.2
C-004,Google,2024-01-29,155.45,28833,1232,91,997.39
C-005,Google,2024-01-29,216.69,43472,1442,62,662.15
C-006,Google,2024-01-29,321.21,67316,1265,21,564.55
C-007,Google,2024-01-29,131.26,27347,822,35,390.84
C-008,TikTok,2024-01-29,63.13,13837,709,61,485.26
C-009,TikTok,2024-01-29,95.08,17215,649,33,371.34
C-010,TikTok,2024-01-29,216.57,43986,2579,31,409.84
C-011,Meta,2024-01-29,124.64,25524,759,24,367.91
C-012,Google,2024-01-29,137.52,29969,873,30,415.47
C-001,Meta,2024-01-30,134.31,27885,814,35,484.01
C-002,Meta,2024-01-30,355.79,74514,1618,21,454.37
C-003,Meta,2024-01-30,94.75,19564,551,19,247.83
C-004,Google,2024-01-30,202.25,39174,1685,136,1401.75
C-005,Google,2024-01-30,219.03,45499,1645,62,688.07
C-006,Google,2024-01-30,284.88,53840,1229,20,426.96
C-007,Google,2024-01-30,118.58,24688,746,28,415.43
C-008,TikTok,2024-01-30,65.32,12472,552,46,453.33
C-009,TikTok,2024-01-30,102.96,21903,945,46,347.36
C-010,TikTok,2024-01-30,187.26,39056,2049,24,364.51
C-011,Meta,2024-01-30,119.25,22428,612,24,353.55
C-012,Google,2024-01-30,142.59,29177,987,37,479.54
C-001,Meta,2024-01-31,151.4,31115,808,31,516.07
C-002,Meta,2024-01-31,281.65,59380,1264,19,445.07
C-003,Meta,2024-01-31,97.21,21133,658,24,256.49
C-004,Google,2024-01-31,205.05,39543,1857,156,1168.67
C-005,Google,2024-01-31,214.67,43235,1614,76,820.36
C-006,Google,2024-01-31,252.71,54405,982,19,464.64
C-007,Google,2024-01-31,125.98,25172,911,41,440.45
C-008,TikTok,2024-01-31,66.78,12045,614,43,550.49
C-009,TikTok,2024-01-31,84.18,18482,711,31,342.92
C-010,TikTok,2024-01-31,221.06,43929,2193,23,417.22
C-011,Meta,2024-01-31,118.52,22553,551,21,360.8
C-012,Google,2024-01-31,163.25,34330,1022,46,584.62
C-001,Meta,2024-02-01,164.71,33042,868,36,477.23
C-002,Meta,2024-02-01,285.5,55085,1273,17,367.99
C-003,Meta,2024-02-01,107.61,23476,618,25,266.33
C-004,Google,2024-02-01,188.3,39111,1528,101,1153.01
C-005,Google,2024-02-01,204.04,40828,1598,71,654.4
C-006,Google,2024-02-01,247.86,53697,1007,18,363.16
C-007,Google,2024-02-01,115.71,21536,740,30,349.65
C-008,TikTok,2024-02-01,60.89,12106,612,51,401.37
C-009,TikTok,2024-02-01,83.18,17483,738,29,294.66
C-010,TikTok,2024-02-01,212.23,38864,2178,22,452.05
C-011,Meta,2024-02-01,120.2,24389,589,20,338.61
C-012,Google,2024-02-01,141.58,26647,901,32,454.47
C-001,Meta,2024-02-02,163.89,32472,978,38,454.86
C-002,Meta,2024-02-02,316.39,67162,1791,26,485.0
C-003,Meta,2024-02-02,107.37,21810,527,19,270.62
C-004,Google,2024-02-02,206.68,44928,1760,149,1154.7
C-005,Google,2024-02-02,204.26,43049,1626,78,724.88
C-006,Google,2024-02-02,273.31,60050,1158,23,490.66
C-007,Google,2024-02-02,125.15,25944,870,35,405.83
C-008,TikTok,2024-02-02,57.26,10715,541,43,440.45
C-009,TikTok,2024-02-02,82.51,14863,483,20,312.5
C-010,TikTok,2024-02-02,202.67,40792,2461,27,405.96
C-011,Meta,2024-02-02,111.92,24342,701,22,342.47
C-012,Google,2024-02-02,156.12,32885,1210,42,455.53
C-001,Meta,2024-02-03,132.04,23944,739,31,365.32
C-002,Meta,2024-02-03,343.09,67276,1547,21,532.74
C-003,Meta,2024-02-03,86.69,17351,455,18,268.86
C-004,Google,2024-02-03,170.22,34710,1642,116,1040.63
C-005,Google,2024-02-03,187.53,38707,1241,49,553.62
C-006,Google,2024-02-03,317.68,68361,1536,28,497.19
C-007,Google,2024-02-03,129.83,28418,1029,43,436.98
C-008,TikTok,2024-02-03,56.74,11158,499,38,439.71
C-009,TikTok,2024-02-03,89.29,19105,682,32,350.93
C-010,TikTok,2024-02-03,224.88,45537,2856,34,420.41
C-011,Meta,2024-02-03,110.74,20833,587,23,342.36
C-012,Google,2024-02-03,140.44,29349,878,33,472.82
C-001,Meta,2024-02-04,154.63,33236,903,38,528.11
C-002,Meta,2024-02-04,325.65,64861,1801,25,518.42
C-003,Meta,2024-02-04,85.46,18586,592,19,284.98
C-004,Google,2024-02-04,178.86,33930,1574,107,1307.38
C-005,Google,2024-02-04,213.28,45006,1518,64,694.53
C-006,Google,2024-02-04,259.97,52127,1041,16,476.01
C-007,Google,2024-02-04,128.81,27512,989,38,389.0
C-008,TikTok,2024-02-04,61.13,11544,515,38,497.54
C-009,TikTok,2024-02-04,92.14,18124,616,26,319.75
C-010,TikTok,2024-02-04,220.0,43993,2531,32,428.37
C-011,Meta,2024-02-04,131.58,28771,809,29,331.75
C-012,Google,2024-02-04,174.16,32527,1144,46,627.01
C-001,Meta,2024-02-05,151.9,31241,813,27,536.64
C-002,Meta,2024-02-05,362.74,74988,2023,29,560.02
C-003,Meta,2024-02-05,91.94,19149,457,17,256.48
C-004,Google,2024-02-05,186.36,38515,1793,133,1206.93
C-005,Google,2024-02-05,178.92,36153,1080,45,567.22
C-006,Google,2024-02-05,320.11,57839,1265,23,559.22
C-007,Google,2024-02-05,145.98,26901,756,27,410.71
C-008,TikTok,2024-02-05,60.48,12858,598,46,418.87
C-009,TikTok,2024-02-05,87.46,17719,772,31,332.24
C-010,TikTok,2024-02-05,220.87,45532,2773,35,407.26
C-011,Meta,2024-02-05,115.65,23373,547,16,291.9
C-012,Google,2024-02-05,159.99,31575,1130,47,566.95
C-001,Meta,2024-02-06,131.79,26506,686,25,468.3
C-002,Meta,2024-02-06,357.21,71091,1535,20,563.94
C-003,Meta,2024-02-06,111.98,22680,546,23,306.67
C-004,Google,2024-02-06,204.92,41697,2018,161,1291.34
C-005,Google,2024-02-06,183.35,34194,1103,50,602.66
C-006,Google,2024-02-06,313.31,60553,1303,20,574.76
C-007,Google,2024-02-06,138.74,27752,1014,35,421.98
C-008,TikTok,2024-02-06,66.1,12798,691,62,461.17
C-009,TikTok,2024-02-06,97.39,17645,624,32,349.62
C-010,TikTok,2024-02-06,191.35,41646,2243,28,421.2
C-011,Meta,2024-02-06,105.08,21514,632,24,257.33
C-012,Google,2024-02-06,143.4,29894,1026,45,433.64
C-001,Meta,2024-02-07,132.29,23839,674,25,394.09
C-002,Meta,2024-02-07,284.72,53383,1314,20,387.61
C-003,Meta,2024-02-07,85.79,16656,409,15,235.69
C-004,Google,2024-02-07,173.8,33312,1448,95,1265.65
C-005,Google,2024-02-07,235.53,51610,1845,69,772.15
C-006,Google,2024-02-07,249.66,47946,956,14,391.63
C-007,Google,2024-02-07,126.92,25303,706,26,363.54
C-008,TikTok,2024-02-07,62.25,12683,576,40,421.93
C-009,TikTok,2024-02-07,102.12,19738,777,38,348.83
C-010,TikTok,2024-02-07,190.08,40414,2462,33,355.59
C-011,Meta,2024-02-07,113.54,24739,608,20,362.22
C-012,Google,2024-02-07,182.5,34977,1221,49,597.29
C-001,Meta,2024-02-08,138.41,26995,886,34,391.61
C-002,Meta,2024-02-08,326.13,66429,1683,26,463.44
